"MASTERWORKS 004, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSOLIDATED STATEMENT OF MEMBERS’ EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Membership Interests,,,Class A ordinary Shares,,,Class B Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Total Class A,,,,,,,,,Total,,,,,,,,,,
,,Interests,,,ContributedCapital,,,Shares,,,ContributedCapital,,,AccumulatedDeficit,,,Members’ Equity,,,Shares,,,ContributedCapital,,,Members’ Equity,,,,,,,,,,
"Balance at January 1, 2022",,,-,,,$,-,,,,"56,008",,,$,"1,120,120",,,$,"(130,386",),,$,"989,734",,,,"13,613",,,$,100,,,$,"989,834",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Class A ordinary shares issued,,,-,,,,-,,,,840,,,,"16,932",,,,-,,,,"16,932",,,,-,,,,-,,,,"16,932",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(16,922",),,,"(16,922",),,,-,,,,-,,,,"(16,922",)
"Balance at December 31, 2022",,,-,,,$,-,,,,"56,848",,,$,"1,137,052",,,$,"(147,308",),,$,"989,744",,,,"13,613",,,$,100,,,$,"989,844",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balance at January 1, 2023",,,-,,,$,-,,,,"56,848",,,$,"1,137,052",,,$,"(147,308",),,$,"989,744",,,,"13,613",,,$,100,,,$,"989,844",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Class A ordinary shares issued,,,-,,,,-,,,,852,,,,"16,961",,,,-,,,,"16,961",,,,-,,,,-,,,,"16,961",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(16,951",),,,"(16,951",),,,-,,,,-,,,,"(16,951",)
"Balance at December 31, 2023",,,-,,,$,-,,,,"57,700",,,$,"1,154,013",,,$,"(164,259",),,$,"989,754",,,,"13,613",,,$,100,,,$,"989,854",
