,,Membership Interests,,,Class A Ordinary Shares,,,Class B Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,TotalClass A,,,,,,,,,Total,,,,,,,,,,
,,Interests,,,ContributedCapital,,,Shares,,,ContributedCapital,,,AccumulatedDeficit,,,Members’Equity,,,Shares,,,ContributedCapital,,,Members’Equity,,,,,,,,,,
"Balance at January 1, 2022",,,-,,,$,-,,,,"603,879",,,$,"12,077,580",,,$,"(1,264,990",),,$,"10,812,590",,,,"1,000",,,$,100,,,$,"10,812,690",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,"34,371",,,,"687,420",,,,-,,,,"687,420",,,,-,,,,-,,,,"687,420",
Class A ordinary shares issued,,,-,,,,-,,,,730,,,,"14,600",,,,-,,,,"14,600",,,,-,,,,-,,,,"14,600",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(14,600",),,,"(14,600",),,,-,,,,-,,,,"(14,600",)
"Balance at June 30, 2022",,,-,,,$,-,,,,"638,980",,,$,"12,779,600",,,$,"(1,279,590",),,$,"11,500,010",,,,"1,000",,,$,100,,,$,"11,500,110",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balance at January 1, 2023",,,-,,,$,-,,,,"643,809",,,$,"12,876,180",,,$,"(1,376,160",),,$,"11,500,020",,,,"1,000",,,$,100,,,$,"11,500,120",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Class A ordinary shares issued,,,-,,,,-,,,,"4,830",,,,"96,890",,,,-,,,,"96,890",,,,-,,,,-,,,,"96,890",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(96,890",),,,"(96,890",),,,-,,,,-,,,,"(96,890",)
"Balance at June 30, 2023",,,-,,,$,-,,,,"648,639",,,$,"12,973,070",,,$,"(1,473,050",),,$,"11,500,020",,,,"1,000",,,$,100,,,$,"11,500,120",
