,,Membership Interests,,,Class A ordinary Shares,,,Class B Shares,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interests,,,ContributedCapital,,,Shares,,,ContributedCapital,,,AccumulatedDeficit,,,Total Class AMembers’ Equity,,,Shares,,,ContributedCapital,,,Members’ Equity,,,,,,,,,,
"Balance at March 2, 2022",,,-,,,$,,,,,-,,,$,-,,,$,-,,,$,-,,,,,,,$,-,,,$,-,
Membership interests issued upon entity formation,,,100,,,,100,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,100,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,(100,),,,(100,),,,-,,,,-,,,,-,,,,-,,,,"1,000",,,,100,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,"88,800",,,,"1,776,000",,,,-,,,,"1,776,000",,,,-,,,,-,,,,"1,776,000",
Class A ordinary shares issued,,,-,,,,-,,,,344,,,,"6,880",,,,-,,,,"6,880",,,,-,,,,-,,,,"6,880",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(182,870",),,,"(182,870",),,,-,,,,-,,,,"(182,870",)
"Balance at December 31, 2022",,,-,,,$,-,,,,"89,144",,,$,"1,782,880",,,$,"(182,870",),,$,"1,600,010",,,,"1,000",,,$,100,,,$,"1,600,110",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balance at January 1, 2023",,,-,,,$,-,,,,"89,144",,,$,"1,782,880",,,$,"(182,870",),,$,"1,600,010",,,,"1,000",,,$,100,,,$,"1,600,110",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Class A ordinary shares issued,,,-,,,,-,,,,"1,332",,,,"24,935",,,,-,,,,"24,935",,,,-,,,,-,,,,"24,935",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(24,925",),,,"(24,925",),,,-,,,,-,,,,"(24,925",)
"Balance at December 31, 2023",,,-,,,$,-,,,,"90,476",,,$,"1,807,815",,,$,"(207,795",),,$,"1,600,020",,,,"1,000",,,$,100,,,$,"1,600,120",
