,,Membership Interests,,,Class A ordinary Shares,,,Class A preferred Shares,,,Class B Shares,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interests,,,ContributedCapital,,,Shares,,,ContributedCapital,,,AccumulatedDeficit,,,Total Class AMembers’ Equity,,,Shares,,,ContributedCapital,,,Shares,,,ContributedCapital,,,Members’Equity,,,,,,,,,,,,
"Balance at July 5, 2022",,,-,,,$,,,,,,,,$,-,,,$,-,,,$,-,,,,-,,,$,-,,,,,,,$,-,,,$,-,
Membership interests issued upon entity formation,,,100,,,,100,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,100,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,(100,),,,(100,),,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,"1,000",,,,100,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,"28,199",,,,"563,980",,,,-,,,,"563,980",,,,-,,,,-,,,,-,,,,-,,,,"563,980",
Class A preferred shares issued,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,,,,,-,,,,-,,,,-,,,,-,
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(87,990",),,,"(87,990",),,,-,,,,-,,,,-,,,,-,,,,"(87,990",)
"Balance at December 31, 2022",,,-,,,$,-,,,,"28,199",,,$,"563,980",,,$,"(87,990",),,$,"475,990",,,,-,,,$,-,,,,"1,000",,,$,100,,,$,"476,090",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balance at January 1, 2023",,,-,,,$,-,,,,"28,199",,,$,"563,980",,,$,"(87,990",),,$,"475,990",,,,-,,,$,-,,,,"1,000",,,$,100,,,$,"476,090",
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,"16,201",,,,"324,020",,,,-,,,,"324,020",,,,-,,,,-,,,,-,,,,-,,,,"324,020",
Class A preferred shares issued,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,625,,,,"10,830",,,,-,,,,-,,,,"10,830",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(10,820",),,,"(10,820",),,,-,,,,-,,,,-,,,,-,,,,"(10,820",)
"Balance at December 31, 2023",,,-,,,$,-,,,,"44,400",,,$,"888,000",,,$,"(98,810",),,$,"789,190",,,,625,,,$,"10,830",,,,"1,000",,,$,100,,,$,"800,120",
