,,Membership Interests,,,Class A Ordinary Shares,,,Class A Preferred Shares,,,Class B Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Total Class A,,,,,,,,,,,,,,,Total,,,,,,,,,,,,
,,Interests,,,ContributedCapital,,,Shares,,,ContributedCapital,,,AccumulatedDeficit,,,Members’Equity,,,Shares,,,ContributedCapital,,,Shares,,,ContributedCapital,,,Members’Equity,,,,,,,,,,,,
"Balance at January 1, 2023",,,100,,,$,100,,,,-,,,$,-,,,$,-,,,$,-,,,,-,,,$,-,,,,-,,,$,-,,,$,100,
Membership interests issued upon entity formation,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,(100,),,,(100,),,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,"1,000",,,,100,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,"27,750",,,,"555,000",,,,-,,,,"555,000",,,,-,,,,-,,,,-,,,,-,,,,"555,000",
Class A preferred shares issued,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,122,,,,"2,440",,,,-,,,,-,,,,"2,440",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(57,440",),,,"(57,440",),,,-,,,,-,,,,-,,,,-,,,,"(57,440",)
"Balance at June 30, 2023",,,-,,,$,-,,,,"27,750",,,$,"555,000",,,$,"(57,440",),,$,"497,560",,,,122,,,$,"2,440",,,,"1,000",,,$,100,,,$,"500,100",
