,,Membership Interests,,,Class A ordinary Shares,,,Class A preferred Shares,,,Class B Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Contributed,,,,,,,,Contributed,,,,Accumulated,,,,Total Class A,,,,,,,,Contributed,,,,,,,,Contributed,,,,Total,
,,,Interests,,,,Capital,,,,Shares,,,,Capital,,,,Deficit,,,,Members’ Equity,,,,Shares,,,,Capital,,,,Shares,,,,Capital,,,,Members’Equity,
"Balance at March 27, 2023",,,-,,,$,-,,,,-,,,$,-,,,$,-,,,$,-,,,,-,,,$,-,,,,-,,,$,-,,,$,-,
Membership interests issued upon entity formation,,,100,,,,100,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,100,
Conversion of membership interests upon entry into the Amended and Restated Operating Agreement,,,(100,),,,(100,),,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,"1,000",,,,100,,,,-,
Share subscriptions settled - Net,,,-,,,,-,,,,"43,650",,,,"873,000",,,,-,,,,"873,000",,,,-,,,,-,,,,-,,,,-,,,,"873,000",
Class A preferred shares issued,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,350,,,,"7,000",,,,-,,,,-,,,,"7,000",
Net income/(loss),,,-,,,,-,,,,-,,,,-,,,,"(93,562",),,,"(93,562",),,,-,,,,-,,,,-,,,,-,,,,"(93,562",)
"Balance at December 31, 2023",,,-,,,$,-,,,,"43,650",,,$,"873,000",,,$,"(93,562",),,$,"779,438",,,,350,,,$,"7,000",,,,"1,000",,,$,100,,,$,"786,538",
