CIK,Company Name,form,accession_number,filing_date,primary_document,document_url,txt_file_url
0001738134,"Masterworks 001, LLC",1-K,0001493152-24-016270,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001738134/000149315224016270/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001738134/000149315224016270/0001493152-24-016270.txt
0001738134,"Masterworks 001, LLC",1-SA,0001493152-23-034648,2023-09-28,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001738134/000149315223034648/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001738134/000149315223034648/0001493152-23-034648.txt
0001791539,"Masterworks 004, LLC",1-K,0001493152-24-016271,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001791539/000149315224016271/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001791539/000149315224016271/0001493152-24-016271.txt
0001791539,"Masterworks 004, LLC",1-SA,0001493152-23-034125,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001791539/000149315223034125/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001791539/000149315223034125/0001493152-23-034125.txt
0001794758,"Masterworks 005, LLC",1-K,0001493152-24-016272,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001794758/000149315224016272/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001794758/000149315224016272/0001493152-24-016272.txt
0001794758,"Masterworks 005, LLC",1-SA,0001493152-23-034126,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001794758/000149315223034126/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001794758/000149315223034126/0001493152-23-034126.txt
0001800977,"Masterworks 006, LLC",1-K,0001493152-24-016273,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001800977/000149315224016273/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001800977/000149315224016273/0001493152-24-016273.txt
0001800977,"Masterworks 006, LLC",1-SA,0001493152-23-034127,2023-09-27,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001800977/000149315223034127/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001800977/000149315223034127/0001493152-23-034127.txt
0001804279,"Masterworks 007, LLC",1-K,0001493152-24-016274,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001804279/000149315224016274/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001804279/000149315224016274/0001493152-24-016274.txt
0001804279,"Masterworks 007, LLC",1-SA,0001493152-23-034128,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001804279/000149315223034128/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001804279/000149315223034128/0001493152-23-034128.txt
0001804266,"Masterworks 008, LLC",1-K,0001493152-24-016275,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001804266/000149315224016275/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001804266/000149315224016275/0001493152-24-016275.txt
0001804266,"Masterworks 008, LLC",1-SA,0001493152-23-034129,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001804266/000149315223034129/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001804266/000149315223034129/0001493152-23-034129.txt
0001806903,"Masterworks 009, LLC",1-K,0001493152-24-016276,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001806903/000149315224016276/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001806903/000149315224016276/0001493152-24-016276.txt
0001806903,"Masterworks 009, LLC",1-SA,0001493152-23-034130,2023-09-27,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001806903/000149315223034130/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001806903/000149315223034130/0001493152-23-034130.txt
0001811847,"Masterworks 013, LLC",1-K,0001493152-24-016277,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001811847/000149315224016277/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001811847/000149315224016277/0001493152-24-016277.txt
0001811847,"Masterworks 013, LLC",1-SA,0001493152-23-034132,2023-09-27,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001811847/000149315223034132/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001811847/000149315223034132/0001493152-23-034132.txt
0001812818,"Masterworks 015, LLC",1-K,0001493152-24-016278,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001812818/000149315224016278/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001812818/000149315224016278/0001493152-24-016278.txt
0001812818,"Masterworks 015, LLC",1-SA,0001493152-23-034133,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001812818/000149315223034133/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001812818/000149315223034133/0001493152-23-034133.txt
0001814041,"Masterworks 017, LLC",1-K,0001493152-24-016279,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001814041/000149315224016279/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001814041/000149315224016279/0001493152-24-016279.txt
0001814041,"Masterworks 017, LLC",1-SA,0001493152-23-034134,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001814041/000149315223034134/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001814041/000149315223034134/0001493152-23-034134.txt
0001816604,"Masterworks 018, LLC",1-K,0001493152-24-016280,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001816604/000149315224016280/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001816604/000149315224016280/0001493152-24-016280.txt
0001816604,"Masterworks 018, LLC",1-SA,0001493152-23-034135,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001816604/000149315223034135/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001816604/000149315223034135/0001493152-23-034135.txt
0001816907,"Masterworks 019, LLC",1-K,0001493152-24-016281,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001816907/000149315224016281/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001816907/000149315224016281/0001493152-24-016281.txt
0001816907,"Masterworks 019, LLC",1-SA,0001493152-23-034136,2023-09-27,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001816907/000149315223034136/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001816907/000149315223034136/0001493152-23-034136.txt
0001817407,"Masterworks 020, LLC",1-K,0001493152-24-016282,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001817407/000149315224016282/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001817407/000149315224016282/0001493152-24-016282.txt
0001817407,"Masterworks 020, LLC",1-SA,0001493152-23-034137,2023-09-27,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001817407/000149315223034137/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001817407/000149315223034137/0001493152-23-034137.txt
0001817381,"Masterworks 021, LLC",1-K,0001493152-24-016283,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001817381/000149315224016283/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001817381/000149315224016283/0001493152-24-016283.txt
0001817381,"Masterworks 021, LLC",1-SA,0001493152-23-034138,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001817381/000149315223034138/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001817381/000149315223034138/0001493152-23-034138.txt
0001819377,"Masterworks 023, LLC",1-K,0001493152-24-016284,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001819377/000149315224016284/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001819377/000149315224016284/0001493152-24-016284.txt
0001819377,"Masterworks 023, LLC",1-SA,0001493152-23-034139,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001819377/000149315223034139/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001819377/000149315223034139/0001493152-23-034139.txt
0001819379,"Masterworks 024, LLC",1-K,0001493152-24-016285,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001819379/000149315224016285/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001819379/000149315224016285/0001493152-24-016285.txt
0001819379,"Masterworks 024, LLC",1-SA,0001493152-23-034140,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001819379/000149315223034140/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001819379/000149315223034140/0001493152-23-034140.txt
0001819378,"Masterworks 026, LLC",1-K,0001493152-24-016286,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001819378/000149315224016286/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001819378/000149315224016286/0001493152-24-016286.txt
0001819378,"Masterworks 026, LLC",1-SA,0001493152-23-034141,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001819378/000149315223034141/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001819378/000149315223034141/0001493152-23-034141.txt
0001824043,"Masterworks 027, LLC",1-K,0001493152-24-016287,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001824043/000149315224016287/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001824043/000149315224016287/0001493152-24-016287.txt
0001824043,"Masterworks 027, LLC",1-SA,0001493152-23-034142,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001824043/000149315223034142/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001824043/000149315223034142/0001493152-23-034142.txt
0001824042,"Masterworks 029, LLC",1-K,0001493152-24-016288,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001824042/000149315224016288/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001824042/000149315224016288/0001493152-24-016288.txt
0001824042,"Masterworks 029, LLC",1-SA,0001493152-23-034143,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001824042/000149315223034143/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001824042/000149315223034143/0001493152-23-034143.txt
0001824041,"Masterworks 030, LLC",1-K,0001493152-24-016289,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001824041/000149315224016289/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001824041/000149315224016289/0001493152-24-016289.txt
0001824041,"Masterworks 030, LLC",1-SA,0001493152-23-034144,2023-09-27,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001824041/000149315223034144/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001824041/000149315223034144/0001493152-23-034144.txt
0001824229,"Masterworks 031, LLC",1-K,0001493152-24-016290,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001824229/000149315224016290/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001824229/000149315224016290/0001493152-24-016290.txt
0001824229,"Masterworks 031, LLC",1-SA,0001493152-23-034145,2023-09-27,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001824229/000149315223034145/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001824229/000149315223034145/0001493152-23-034145.txt
0001829027,"Masterworks 033, LLC",1-K,0001493152-24-016291,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001829027/000149315224016291/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001829027/000149315224016291/0001493152-24-016291.txt
0001829027,"Masterworks 033, LLC",1-SA,0001493152-23-034146,2023-09-27,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001829027/000149315223034146/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001829027/000149315223034146/0001493152-23-034146.txt
0001829028,"Masterworks 034, LLC",1-K,0001493152-24-016292,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001829028/000149315224016292/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001829028/000149315224016292/0001493152-24-016292.txt
0001829028,"Masterworks 034, LLC",1-SA,0001493152-23-034147,2023-09-27,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001829028/000149315223034147/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001829028/000149315223034147/0001493152-23-034147.txt
0001829031,"Masterworks 035, LLC",1-K,0001493152-24-016293,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001829031/000149315224016293/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001829031/000149315224016293/0001493152-24-016293.txt
0001829031,"Masterworks 035, LLC",1-SA,0001493152-23-034148,2023-09-27,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001829031/000149315223034148/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001829031/000149315223034148/0001493152-23-034148.txt
0001829030,"Masterworks 036, LLC",1-K,0001493152-24-016294,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001829030/000149315224016294/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001829030/000149315224016294/0001493152-24-016294.txt
0001829030,"Masterworks 036, LLC",1-SA,0001493152-23-034149,2023-09-27,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001829030/000149315223034149/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001829030/000149315223034149/0001493152-23-034149.txt
