Entity,Total Assets,Total Liabilities,Total Class A Share Value Issued EOP,Class A Preferred Value,Class B Shares Value,Membership Interests,Class C Issued and Outstanding 2023,Total Class A Shares,Class A Preferred Issued EOP,Class A Pref Shares Issued Value,Subscriptions Settled Value,Accumulated RE BOP,Class A Shares Issued Balance BOP,Class A Shares Issued Value Balance BOP,Pref Class A Shares Balance BOP,Pref Class A Value Balance BOP,Membership Interest Issued BOP,Membership Interest Issued,Membership Interest Converted 2023,Net income/(loss),Share-based compensation - administrative services fees,Other amounts due to affiliates,Net Cash Provided/(Used) in Operating Activities,Purchase of artwork,Net Cash Provided/(Used) in Investing Activities,Proceeds from issuance of Class A ordinary shares,Net Cash Provided/(Used) in Financing Activities,Net Change in Cash and Cash Equivalents,"Cash and Cash Equivalents, beginning of period","Cash and Cash Equivalents, end of period",Issuance of Class A ordinary shares from subscriptions previously received,Net Income,Weighted Average Class A Shares Outstanding EOP
"masterworks 001, llc","1,815,121",0,"1,815,021",0,100,—,0,"105,570",0,0,-,"-272,994","104,784","2,088,015","24,956",100,-,-,-,"-14,918","14,918",0,-,0,-,0,-,-,121,121,0,"-14,918","104,981"
"masterworks 004, llc","989,844",0,"989,743",0,100,-,0,"57,274",0,0,-,"-147,309","56,848","1,137,052","13,613",100,-,-,-,"-8,156","8,156",0,-,0,-,0,-,-,121,121,0,"-8,156","56,955"
"masterworks 005, llc","1,080,790",0,"1,080,690",0,100,-,0,"62,425",0,0,-,"-162,448","61,963","1,243,138","14,860",100,-,-,-,"-10,744","10,744",0,-,0,-,0,-,-,121,121,0,"-10,744","62,079"
"masterworks 006, llc","5,171,361",0,"5,171,261",0,100,-,0,"297,066",0,0,-,"-727,480","294,852","5,898,741","1,000",100,-,-,-,"-47,678","47,678",0,-,0,-,0,-,-,121,121,0,"-47,678","295,406"
"masterworks 007, llc","1,949,209",0,"1,949,109",0,100,-,0,"111,968",0,0,-,"-319,815","111,134","2,268,924","1,000",100,-,-,-,"-29,307","29,307",0,-,0,-,0,-,-,121,121,0,"-29,307","111,343"
"masterworks 008, llc","1,168,186",0,"1,168,086",0,100,-,0,"67,313",0,0,-,"-170,322","66,809","1,338,408","1,000",100,-,-,-,"-10,418","10,418",0,-,0,-,0,-,-,121,121,0,"-10,418","66,935"
"masterworks 009, llc","600,121",0,"600,021",0,100,-,0,"34,471",0,0,-,"-90,369","34,213","690,390","1,000",100,-,-,-,"-7,331","7,331",0,-,0,-,0,-,-,121,121,0,"-7,331","34,278"
"masterworks 013, llc","1,380,121",0,"1,380,021",0,100,-,0,"79,124",0,0,-,"-190,717","78,536","1,570,738","1,000",100,-,-,-,"-11,883","11,883",0,-,0,-,0,-,-,121,121,0,"-11,883","78,683"
"masterworks 015, llc","2,005,121",0,"2,005,021",0,100,-,0,"114,989",0,0,-,"-314,048","114,131","2,319,069","1,000",100,-,-,-,"-21,373","21,373",0,-,0,-,0,-,-,121,121,0,"-21,373","114,346"
"masterworks 017, llc","3,500,121",-,"3,500,021",0,100,-,0,"199,400",0,0,-,"-460,350","197,918","3,960,371","1,000",100,-,-,-,"-29,759","29,759",0,-,0,-,0,-,-,121,121,0,"-29,759","198,289"
